seed,sample_set,method,stratum_column,stratum_value,sample_count,MAE,MSE,regret_to_oracle,oracle_label_accuracy,weight_entropy,normalized_weight_entropy,mean_max_weight
16,pilot_selection,revin_aux_only_fusion_huber_kl_raw_soft_fusion,oracle_model,ES,10499,0.1599846376506295,1.8063716114180974,0.06627814218322724,0.0037146394894751883,1.5066454578388802,0.9361314569508569,0.28402997522124085
16,pilot_selection,revin_aux_only_fusion_huber_kl_hard_top1,oracle_model,NaiveForecaster,2496,0.49068193776253255,3.6264839920453458,0.208659188740625,0.16346153846153846,1.2544135656750233,0.7794109707393799,0.4806638954458042
16,pilot_selection,revin_aux_only_fusion_huber_kl_raw_soft_fusion,oracle_model,NaiveForecaster,2496,0.4854436628992143,3.4811335066100093,0.20342091387730676,0.16346153846153846,1.2544135656750233,0.7794109707393799,0.4806638954458042
16,diagnostic_balanced,revin_aux_only_fusion_huber_kl_hard_top1,oracle_model,ES,4000,0.17514026017111609,0.5604443391790916,0.08055786177085975,0.005,1.5007212247252464,0.9324505239568814,0.28820858062803745
16,diagnostic_balanced,revin_aux_only_fusion_huber_kl_raw_soft_fusion,oracle_model,ES,4000,0.15729960784839933,0.4649166361295973,0.06271720944814296,0.005,1.5007212247252464,0.9324505239568814,0.28820858062803745
16,diagnostic_balanced,revin_aux_only_fusion_huber_kl_hard_top1,oracle_model,DLinear,4000,0.35581520915687725,0.5936325227344479,0.016272736419690802,0.88925,1.1552420400721022,0.717792237368712,0.5042560635060072
16,diagnostic_balanced,revin_aux_only_fusion_huber_kl_raw_soft_fusion,oracle_model,DLinear,4000,0.37357644471494134,0.5993460422232408,0.03403397197775487,0.88925,1.1552420400721022,0.717792237368712,0.5042560635060072
16,diagnostic_balanced,revin_aux_only_fusion_huber_kl_hard_top1,oracle_model,CrossFormer,4000,0.5928965745146852,1.297600096571736,0.1475530664884718,0.0,1.1607815279513598,0.7212341147076643,0.49876029903441665
16,diagnostic_balanced,revin_aux_only_fusion_huber_kl_raw_soft_fusion,oracle_model,CrossFormer,4000,0.5113777018995024,1.0235224416576771,0.06603419387328907,0.0,1.1607815279513598,0.7212341147076643,0.49876029903441665
16,diagnostic_balanced,revin_aux_only_fusion_huber_kl_hard_top1,oracle_model,PatchTST,4000,0.4672955918730586,0.7572905491626225,0.10781875281129033,0.2205,1.1540955704338849,0.7170798957310758,0.47586528269946576
16,diagnostic_balanced,revin_aux_only_fusion_huber_kl_raw_soft_fusion,oracle_model,PatchTST,4000,0.41491717680791046,0.6471812042769042,0.055440337746142196,0.2205,1.1540955704338849,0.7170798957310758,0.47586528269946576
16,diagnostic_balanced,revin_aux_only_fusion_huber_kl_hard_top1,oracle_model,NaiveForecaster,4000,0.49636095470232977,4.721318718320024,0.20785495890437186,0.15625,1.2470283871706342,0.7748223013366444,0.48608816289901735
16,diagnostic_balanced,revin_aux_only_fusion_huber_kl_raw_soft_fusion,oracle_model,NaiveForecaster,4000,0.49090415869005666,4.590759131681892,0.20239816289209875,0.15625,1.2470283871706342,0.7748223013366444,0.48608816289901735
17,pilot_selection,revin_aux_only_fusion_huber_kl_hard_top1,oracle_model,CrossFormer,2893,0.596868107559171,1.0616002603040617,0.15688082957654778,0.0,1.1453742997439478,0.7116610655776671,0.5049487807492752
17,pilot_selection,revin_aux_only_fusion_huber_kl_raw_soft_fusion,oracle_model,CrossFormer,2893,0.5100551281814717,0.7852475260918433,0.07006785019884848,0.0,1.1453742997439478,0.7116610655776671,0.5049487807492752
17,pilot_selection,revin_aux_only_fusion_huber_kl_hard_top1,oracle_model,PatchTST,4822,0.4876409276341363,0.9257595146228293,0.1158299743700168,0.2233513065118208,1.1481529488504452,0.7133875373384169,0.47951638897589655
17,pilot_selection,revin_aux_only_fusion_huber_kl_raw_soft_fusion,oracle_model,PatchTST,4822,0.4324921270983455,0.7605298213255677,0.06068117383422606,0.2233513065118208,1.1481529488504452,0.7133875373384169,0.47951638897589655
17,pilot_selection,revin_aux_only_fusion_huber_kl_hard_top1,oracle_model,DLinear,9290,0.3676751107557597,1.4367074390402255,0.01800587290349851,0.8694294940796555,1.1370148780065978,0.7064670648195345,0.5101890864201588
17,pilot_selection,revin_aux_only_fusion_huber_kl_raw_soft_fusion,oracle_model,DLinear,9290,0.38102954018584617,1.3984680334450512,0.031360302333584965,0.8694294940796555,1.1370148780065978,0.7064670648195345,0.5101890864201588
17,pilot_selection,revin_aux_only_fusion_huber_kl_hard_top1,oracle_model,ES,10499,0.17732624330638153,1.9367856004924864,0.08361974783897927,0.005333841318220783,1.4984811928054915,0.9310587138706092,0.29688499855426326
17,pilot_selection,revin_aux_only_fusion_huber_kl_raw_soft_fusion,oracle_model,ES,10499,0.16001437062641752,1.789960322338346,0.06630787515901523,0.005333841318220783,1.4984811928054915,0.9310587138706092,0.29688499855426326
17,pilot_selection,revin_aux_only_fusion_huber_kl_hard_top1,oracle_model,NaiveForecaster,2496,0.48088350171603733,3.5730787150050847,0.19886075269412976,0.171875,1.210432508331579,0.7520840033530285,0.49772872293415743
17,pilot_selection,revin_aux_only_fusion_huber_kl_raw_soft_fusion,oracle_model,NaiveForecaster,2496,0.4821324233927417,3.462439840903137,0.2001096743708341,0.171875,1.210432508331579,0.7520840033530285,0.49772872293415743
17,diagnostic_balanced,revin_aux_only_fusion_huber_kl_hard_top1,oracle_model,ES,4000,0.17429423256542942,0.5661288383335773,0.07971183416517306,0.003,1.4928215045444668,0.9275421518353173,0.3005616807490587
17,diagnostic_balanced,revin_aux_only_fusion_huber_kl_raw_soft_fusion,oracle_model,ES,4000,0.15779813409659255,0.4650644243480624,0.06321573569633619,0.003,1.4928215045444668,0.9275421518353173,0.3005616807490587
17,diagnostic_balanced,revin_aux_only_fusion_huber_kl_hard_top1,oracle_model,DLinear,4000,0.3578049124440149,0.6049553718245144,0.018262439706828473,0.87,1.135877799516711,0.7057605582304316,0.5119501001313329
17,diagnostic_balanced,revin_aux_only_fusion_huber_kl_raw_soft_fusion,oracle_model,DLinear,4000,0.37329064638368437,0.598706580617272,0.03374817364649792,0.87,1.135877799516711,0.7057605582304316,0.5119501001313329
17,diagnostic_balanced,revin_aux_only_fusion_huber_kl_hard_top1,oracle_model,CrossFormer,4000,0.5943351491017965,1.3126577069363796,0.1489916410755832,0.0,1.1439266726523638,0.710761604293451,0.5050960079915822
17,diagnostic_balanced,revin_aux_only_fusion_huber_kl_raw_soft_fusion,oracle_model,CrossFormer,4000,0.5087744231338729,1.0072104939430462,0.06343091510765954,0.0,1.1439266726523638,0.710761604293451,0.5050960079915822
17,diagnostic_balanced,revin_aux_only_fusion_huber_kl_hard_top1,oracle_model,PatchTST,4000,0.46747673245618354,0.7557891685506056,0.10799989339441526,0.22575,1.1479702578040305,0.713274025009048,0.4800384801439941
17,diagnostic_balanced,revin_aux_only_fusion_huber_kl_raw_soft_fusion,oracle_model,PatchTST,4000,0.4152746839323372,0.6488523556063293,0.05579784487056898,0.22575,1.1479702578040305,0.713274025009048,0.4800384801439941
