sample_set,variant,stratum_column,stratum_value,sample_count,MAE_mean,MAE_std,MSE_mean,regret_mean,oracle_label_accuracy_mean,mean_max_weight_mean,MAE_delta_vs_baseline,MSE_delta_vs_baseline,regret_delta_vs_baseline
round2_diagnostic_balanced_small,film_panel_mean_aux,oracle_model,PatchTST,1000.0,0.5030176938426836,0.00945691222754651,10.178025869734064,0.11622664276386296,0.39633333333333337,0.5977823746204377,-0.0004216467506097388,-3.3610708446472284,-0.00042164675060969714
round2_selection_small,film_global_panel_mean_aux,oracle_model,CrossFormer,479.0,0.4884666702154344,0.0027061180864758304,0.8220256473178446,0.0444062331437976,0.13152400835073064,0.5830461751817412,0.007398603568449735,0.018125528365004473,0.007398603568449798
round2_selection_small,film_global_panel_mean_aux,oracle_model,DLinear,1547.0,0.36827993617113436,0.002318850559861485,5.961875933704438,0.015247709185895466,0.8009049773755658,0.6759092928141363,-0.006842548376128077,-0.008357144015354478,-0.006842548376128103
round2_selection_small,film_global_panel_mean_aux,oracle_model,ES,1774.0,0.1403061329439266,0.0016311455798692926,1.0940838235727388,0.042801353231975,0.3196166854565952,0.3542373788475497,-0.0005221555460557248,0.03960952697106457,-0.000522155546055697
round2_selection_small,film_global_panel_mean_aux,oracle_model,PatchTST,814.0,0.4652563509761862,0.04012950491632038,7.293192133199798,0.10100307422406919,0.3407043407043407,0.6102687311431212,0.01926601521132032,1.2448992383262638,0.019266015211320292
round2_selection_small,film_mean_patch_aux,oracle_model,CrossFormer,479.0,0.48106806664698465,0.0029605898824389587,0.8039001189528401,0.037007629575347804,0.1885873347251217,0.5510858384556627,0.0,0.0,0.0
round2_selection_small,film_mean_patch_aux,oracle_model,DLinear,1547.0,0.37512248454726244,0.00424776167136083,5.970233077719793,0.02209025756202357,0.7457444516268046,0.6160343710435051,0.0,0.0,0.0
round2_selection_small,film_mean_patch_aux,oracle_model,ES,1774.0,0.14082828848998233,0.003411429272454806,1.0544742966016742,0.0433235087780307,0.5544907929349868,0.35866138122049057,0.0,0.0,0.0
round2_selection_small,film_mean_patch_aux,oracle_model,PatchTST,814.0,0.44599033576486585,0.047978440109506186,6.048292894873534,0.0817370590127489,0.40622440622440625,0.5686129632785025,0.0,0.0,0.0
round2_selection_small,film_panel_mean_aux,oracle_model,CrossFormer,479.0,0.4812204625936148,0.0038044220639285643,0.805948636691555,0.037160025521978,0.18649965205288796,0.5624276065191794,0.000152395946630135,0.00204851773871495,0.00015239594663019745
round2_selection_small,film_panel_mean_aux,oracle_model,DLinear,1547.0,0.37117576670314795,0.0031856646575343307,5.963137385091749,0.018143539717909034,0.7670760611937082,0.6352095548107665,-0.003946717844114489,-0.007095692628043437,-0.003946717844114534
round2_selection_small,film_panel_mean_aux,oracle_model,ES,1774.0,0.13906753386462634,0.003044364373596549,1.0065787857986634,0.041562754152674734,0.5512965050732808,0.33219564936520324,-0.0017607546253559925,-0.0478955108030108,-0.0017607546253559647
round2_selection_small,film_panel_mean_aux,oracle_model,PatchTST,814.0,0.47008223521341447,0.0335794142737054,7.707319715954031,0.10582895846129754,0.37510237510237504,0.58175028244874,0.024091899448548615,1.6590268210804968,0.024091899448548643
round2_test_small,film_global_panel_mean_aux,oracle_model,CrossFormer,476.0,0.659085570928492,0.006685446739739089,1.7967814573912466,0.1076766681571749,0.12815126050420164,0.6011087065588693,0.001114416010521313,0.0053235711063537305,0.0011144160105212991
round2_test_small,film_global_panel_mean_aux,oracle_model,DLinear,613.0,0.609079481219258,0.007998731804159163,1.9104765230259646,0.08882237845690448,0.32463295269168024,0.6473793433113161,-0.002801632604856996,-0.03830806219181815,-0.002801632604856996
round2_test_small,film_global_panel_mean_aux,oracle_model,ES,2135.0,0.21162310163772738,0.004296590413901589,5.040487221197609,0.042164676412420166,0.33723653395784536,0.37729415582037823,-0.0028573935370840298,-0.01240269133821581,-0.002857393537084002
round2_test_small,film_global_panel_mean_aux,oracle_model,PatchTST,1012.0,0.5838166170573164,0.0033078142505277033,3.8603736478632116,0.0635353265718553,0.7453886693017128,0.6898980250874134,-0.00046771864329464563,-0.046424872440253395,-0.0004677186432945901
round2_test_small,film_mean_patch_aux,oracle_model,CrossFormer,476.0,0.6579711549179706,0.0037250445051293627,1.7914578862848929,0.1065622521466536,0.12535014005602235,0.5952517304788617,0.0,0.0,0.0
round2_test_small,film_mean_patch_aux,oracle_model,DLinear,613.0,0.611881113824115,0.004962023467567623,1.9487845852177827,0.09162401106176148,0.2936378466557912,0.6229958645168888,0.0,0.0,0.0
round2_test_small,film_mean_patch_aux,oracle_model,ES,2135.0,0.2144804951748114,0.00501745801119439,5.052889912535825,0.04502206994950417,0.5383294301327087,0.38825346716766146,0.0,0.0,0.0
