row_type,tail_name,tail_basis_system,evaluated_system,tail_metric,quantile,threshold,sample_count,tail_overlap_count,tail_union_count,tail_overlap_jaccard,mean_soft_MAE,mean_soft_MSE,mean_regret,mean_hard_top1_MAE,oracle_label_accuracy,weight_entropy,mean_max_weight,category,count,ratio
selected_model_distribution,top_5pct_soft_MAE,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_mae,0.95,1.1780631144841518,3750,3372,4128,0.8168604651162791,,,,,,,,ES,848,0.22613333333333333
selected_model_distribution,top_5pct_soft_MAE,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_mae,0.95,1.1780631144841518,3750,3372,4128,0.8168604651162791,,,,,,,,NaiveForecaster,349,0.09306666666666667
selected_model_distribution,top_5pct_soft_MAE,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_mae,0.95,1.1780631144841518,3750,3372,4128,0.8168604651162791,,,,,,,,PatchTST,1843,0.49146666666666666
summary,top_5pct_soft_MAE,round2_spatial_panel_3view,round1_film_mean_patch_aux,soft_fusion_mae,0.95,1.1694916347662607,3750,3372,4128,0.8168604651162791,2.6652094345611683,3660.0617937248735,0.6607026654591949,2.6949307869482366,0.2976,1.0296973703848662,0.5817674110823208,,,
summary,top_5pct_soft_MAE,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_mae,0.95,1.1694916347662607,3750,3372,4128,0.8168604651162791,2.6300951852216494,3648.5654795840073,0.6255884161196753,2.685260928587998,0.2831111111111111,0.9972064267304709,0.5888278977168931,,,
oracle_model_distribution,top_5pct_soft_MAE,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_mae,0.95,1.1694916347662607,3750,3372,4128,0.8168604651162791,,,,,,,,CrossFormer,708,0.1888
oracle_model_distribution,top_5pct_soft_MAE,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_mae,0.95,1.1694916347662607,3750,3372,4128,0.8168604651162791,,,,,,,,DLinear,765,0.204
oracle_model_distribution,top_5pct_soft_MAE,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_mae,0.95,1.1694916347662607,3750,3372,4128,0.8168604651162791,,,,,,,,ES,852,0.2272
oracle_model_distribution,top_5pct_soft_MAE,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_mae,0.95,1.1694916347662607,3750,3372,4128,0.8168604651162791,,,,,,,,NaiveForecaster,362,0.09653333333333333
oracle_model_distribution,top_5pct_soft_MAE,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_mae,0.95,1.1694916347662607,3750,3372,4128,0.8168604651162791,,,,,,,,PatchTST,1063,0.28346666666666664
