comparison,left_variant,right_variant,sample_set,metric,left_value,right_value,delta_left_minus_right,lower_is_better,status
film_cls_mean_concat_aux - round0_timefuse,film_cls_mean_concat_aux,round0_timefuse,pilot_test,hard_top1_oracle_label_accuracy_mean,0.4266177777777777,0.58724,-0.16062222222222228,False,ok
film_cls_mean_concat_aux - round0_timefuse,film_cls_mean_concat_aux,round0_timefuse,pilot_test,weight_entropy_mean,1.1129164979766648,0.7304382873762053,0.3824782106004595,False,ok
film_cls_mean_concat_aux - round0_timefuse,film_cls_mean_concat_aux,round0_timefuse,pilot_test,normalized_weight_entropy_mean,0.6914938888199771,0.4538468183609244,0.2376470704590527,False,ok
film_cls_mean_concat_aux - round0_timefuse,film_cls_mean_concat_aux,round0_timefuse,pilot_test,mean_max_weight_mean,0.5175679433654414,0.701544363599817,-0.18397642023437555,False,ok
visual_cls_mean_concat - round0_timefuse,visual_cls_mean_concat,round0_timefuse,pilot_test,raw_soft_MAE_mean,0.4430617988970811,0.5352202928627874,-0.0921584939657063,True,ok
visual_cls_mean_concat - round0_timefuse,visual_cls_mean_concat,round0_timefuse,pilot_test,raw_soft_MSE_mean,244.23848718010012,568.5024010523083,-324.26391387220815,True,ok
visual_cls_mean_concat - round0_timefuse,visual_cls_mean_concat,round0_timefuse,pilot_test,raw_soft_regret_mean,0.1027768748843199,0.1949353688500262,-0.09215849396570631,True,ok
visual_cls_mean_concat - round0_timefuse,visual_cls_mean_concat,round0_timefuse,pilot_test,raw_soft_MAE_std,0.0214192547880282,0.0,0.0214192547880282,True,ok
visual_cls_mean_concat - round0_timefuse,visual_cls_mean_concat,round0_timefuse,pilot_test,hard_top1_MAE_mean,0.4509687858272665,0.5474324226661174,-0.09646363683885084,True,ok
visual_cls_mean_concat - round0_timefuse,visual_cls_mean_concat,round0_timefuse,pilot_test,hard_top1_MSE_mean,257.26591031648513,568.559824744805,-311.2939144283199,True,ok
visual_cls_mean_concat - round0_timefuse,visual_cls_mean_concat,round0_timefuse,pilot_test,hard_top1_regret_mean,0.1106838618145053,0.2071474986533563,-0.096463636838851,True,ok
visual_cls_mean_concat - round0_timefuse,visual_cls_mean_concat,round0_timefuse,pilot_test,hard_top1_oracle_label_accuracy_mean,0.5173288888888888,0.58724,-0.06991111111111115,False,ok
visual_cls_mean_concat - round0_timefuse,visual_cls_mean_concat,round0_timefuse,pilot_test,weight_entropy_mean,1.1220432741412136,0.7304382873762053,0.3916049867650083,False,ok
visual_cls_mean_concat - round0_timefuse,visual_cls_mean_concat,round0_timefuse,pilot_test,normalized_weight_entropy_mean,0.6971646701262432,0.4538468183609244,0.24331785176531878,False,ok
visual_cls_mean_concat - round0_timefuse,visual_cls_mean_concat,round0_timefuse,pilot_test,mean_max_weight_mean,0.5243373336940342,0.701544363599817,-0.17720702990578274,False,ok
