stage,result_role,sample_set,variant,method,method_kind,seed_count,sample_count,MAE_mean,MAE_std,MSE_mean,MSE_std,regret_to_oracle_mean,regret_to_oracle_std,oracle_label_accuracy_mean,oracle_label_accuracy_std,weight_entropy_mean,weight_entropy_std,normalized_weight_entropy_mean,normalized_weight_entropy_std,mean_max_weight_mean,mean_max_weight_std,source_file,selection_status,final_test_status
P2d_concat,selection,pilot_selection,mean_patch_plus_aux,mean_patch_plus_aux_hard_top1,hard_top1,3,30000,0.3181480709209671,0.0007562163342359,1.3069142364192332,0.1961825908084819,0.0514168672889085,0.0007562163342359,0.4681333333333333,0.1488602476597877,1.1235567863358626,0.0173889627463956,0.6981050738230037,0.0108043696836602,0.5108146832679709,0.010831384628914,experiment_summaries/visual_router_v2_round1/p2d_concat/round1_concat_selection_comparison.csv,selection_only,not_final_test
P2d_concat,selection,pilot_selection,cls_mean_concat_plus_aux,cls_mean_concat_plus_aux_hard_top1,hard_top1,3,30000,0.3187508789610467,0.0015851461021194,1.3393812127952724,0.1611187163535421,0.0520196753289881,0.0015851461021194,0.4679111111111111,0.1465579154893811,1.1181368419219009,0.0167931003181413,0.6947374665111022,0.0104341391187923,0.5131478660404682,0.006964428890328,experiment_summaries/visual_router_v2_round1/p2d_concat/round1_concat_selection_comparison.csv,selection_only,not_final_test
P2e_FiLM,selection,pilot_selection,film_mean_patch_aux,film_mean_patch_aux_raw_soft_fusion,raw_soft_fusion,3,30000,0.3003931976794061,0.0005415206000238,1.28987162021779,0.1646497573801887,0.0336619940473476,0.0005415206000238,0.5521666666666666,0.1484924502383127,1.1359745164847483,0.0200917827608004,0.705820639405292,0.0124837299309119,0.5023525087240669,0.0066590426177055,experiment_summaries/visual_router_v2_round1/p2e_film/round1_film_selection_comparison.csv,selection_only,not_final_test
P2e_FiLM,selection,pilot_selection,film_cls_mean_concat_aux,film_cls_mean_concat_aux_raw_soft_fusion,raw_soft_fusion,3,30000,0.3004856132007154,0.0008585233519499,1.3131619294091366,0.168121702241535,0.0337544095686568,0.0008585233519499,0.4653777777777777,0.1479154650968411,1.1294494181971122,0.0288932528745205,0.7017663694344529,0.017952387511516,0.5056179922216469,0.0138389723618829,experiment_summaries/visual_router_v2_round1/p2e_film/round1_film_selection_comparison.csv,selection_only,not_final_test
P2e_FiLM,selection,pilot_selection,film_mean_patch_aux,film_mean_patch_aux_hard_top1,hard_top1,3,30000,0.3178284423188526,0.0004294630477382,1.3785996552211823,0.155790536850479,0.0510972386867939,0.0004294630477382,0.5521666666666666,0.1484924502383127,1.1359745164847483,0.0200917827608004,0.705820639405292,0.0124837299309119,0.5023525087240669,0.0066590426177055,experiment_summaries/visual_router_v2_round1/p2e_film/round1_film_selection_comparison.csv,selection_only,not_final_test
P2e_FiLM,selection,pilot_selection,film_cls_mean_concat_aux,film_cls_mean_concat_aux_hard_top1,hard_top1,3,30000,0.3182430259334695,0.0006026993326011,1.3640844043049054,0.1668949502713435,0.0515118223014108,0.0006026993326011,0.4653777777777777,0.1479154650968411,1.1294494181971122,0.0288932528745205,0.7017663694344529,0.017952387511516,0.5056179922216469,0.0138389723618829,experiment_summaries/visual_router_v2_round1/p2e_film/round1_film_selection_comparison.csv,selection_only,not_final_test
P2b_visual_pooling,diagnostic,diagnostic_balanced,visual_mean_patch_only,visual_mean_patch_only_raw_soft_fusion,raw_soft_fusion,3,20000,0.3465249708562584,0.0032618290537706,1.3885543088036858,0.0162251162422541,0.0410347280515819,0.0032618290537706,0.3563166666666666,0.0231814760818489,1.0517010883620166,0.0203086991070695,0.6534586149095014,0.0126185041600401,0.5483904539816081,0.0087993139355551,experiment_summaries/visual_router_v2_round1/p2b_visual_pooling/visual_pooling_diagnostic_summary.csv,not_selection,not_final_test
P2b_visual_pooling,diagnostic,diagnostic_balanced,visual_cls_mean_concat,visual_cls_mean_concat_raw_soft_fusion,raw_soft_fusion,3,20000,0.3484566300796854,0.0084445366871069,1.3590394837918491,0.0234544178266965,0.042966387275009,0.0084445366871069,0.4610666666666667,0.1051462354691471,1.0366978493451529,0.0241736691475309,0.6441365796057197,0.0150199408666345,0.5590715391603608,0.0091640479421676,experiment_summaries/visual_router_v2_round1/p2b_visual_pooling/visual_pooling_diagnostic_summary.csv,not_selection,not_final_test
P2b_visual_pooling,diagnostic,diagnostic_balanced,visual_cls_only,visual_cls_only_raw_soft_fusion,raw_soft_fusion,3,20000,0.3493098017188034,0.0047239365517255,1.3696232130005557,0.0553227351009876,0.0438195589141269,0.0047239365517255,0.3501333333333333,0.0292278263532089,1.043780386597182,0.0206588590049071,0.6485372063995912,0.0128360715530347,0.553225282364587,0.0072137579639641,experiment_summaries/visual_router_v2_round1/p2b_visual_pooling/visual_pooling_diagnostic_summary.csv,not_selection,not_final_test
P2b_visual_pooling,diagnostic,diagnostic_balanced,visual_mean_patch_only,visual_mean_patch_only_hard_top1,hard_top1,3,20000,0.3727622471151412,0.0042101548405242,1.4773634766490102,0.0151282316459904,0.0672720043104647,0.0042101548405242,0.3563166666666666,0.0231814760818489,1.0517010883620166,0.0203086991070695,0.6534586149095014,0.0126185041600401,0.5483904539816081,0.0087993139355551,experiment_summaries/visual_router_v2_round1/p2b_visual_pooling/visual_pooling_diagnostic_summary.csv,not_selection,not_final_test
P2b_visual_pooling,diagnostic,diagnostic_balanced,visual_cls_mean_concat,visual_cls_mean_concat_hard_top1,hard_top1,3,20000,0.3734414469009179,0.0079793509187383,1.4562815576696029,0.034102341325974,0.0679512040962414,0.0079793509187383,0.4610666666666667,0.1051462354691471,1.0366978493451529,0.0241736691475309,0.6441365796057197,0.0150199408666345,0.5590715391603608,0.0091640479421676,experiment_summaries/visual_router_v2_round1/p2b_visual_pooling/visual_pooling_diagnostic_summary.csv,not_selection,not_final_test
P2b_visual_pooling,diagnostic,diagnostic_balanced,visual_cls_only,visual_cls_only_hard_top1,hard_top1,3,20000,0.3749255634707643,0.0056946787972699,1.4491800601306852,0.0383347932879102,0.0694353206660878,0.0056946787972699,0.3501333333333333,0.0292278263532089,1.043780386597182,0.0206588590049071,0.6485372063995912,0.0128360715530347,0.553225282364587,0.0072137579639641,experiment_summaries/visual_router_v2_round1/p2b_visual_pooling/visual_pooling_diagnostic_summary.csv,not_selection,not_final_test
P2c_aux_only,diagnostic,diagnostic_balanced,aux_only,revin_aux_only_fusion_huber_kl_hard_top1,hard_top1,3,20000,0.4177241327135751,0.0010560114515714,1.620599367519571,0.0599188327597678,0.1122338899088986,0.0010560114515714,0.25485,0.0026846787517317,1.2310250052221348,0.0108676729029861,0.764878841060941,0.0067524648319921,0.4564203243340055,0.0050645907146588,experiment_summaries/visual_router_v2_round1/p2c_aux_only/aux_only_diagnostic_summary.csv,not_selection,not_final_test
P2c_aux_only,diagnostic,diagnostic_balanced,aux_only,revin_aux_only_fusion_huber_kl_raw_soft_fusion,raw_soft_fusion,3,20000,0.3892907795749387,0.0004971234422536,1.4765492586341884,0.0230546902448847,0.0838005367702621,0.0004971234422536,0.25485,0.0026846787517317,1.2310250052221348,0.0108676729029861,0.764878841060941,0.0067524648319921,0.4564203243340055,0.0050645907146588,experiment_summaries/visual_router_v2_round1/p2c_aux_only/aux_only_diagnostic_summary.csv,not_selection,not_final_test
