variant,sample_set,stratum_column,stratum_value,seed_count,sample_count,raw_soft_MAE_mean,raw_soft_MSE_mean,raw_soft_regret_mean,oracle_label_accuracy_mean,delta_vs_visual_cls_mean_concat,delta_vs_round0_timefuse
visual_cls_mean_concat,pilot_test,group_name,HIGH_LOW_HIGH,3,15006.0,0.35097169193695393,4.35661957988206,0.057113990494660004,0.5735039317606291,0.0,-0.0069988009082749825
visual_mean_patch_only,pilot_test,group_name,HIGH_LOW_HIGH,3,15006.0,0.353582282138275,4.808467948359825,0.0597245806959811,0.37440579323826023,0.002610590201321039,-0.004388210706953943
cls_mean_concat_plus_aux,pilot_test,group_name,HIGH_LOW_LOW,3,13589.0,0.9759562172606847,1342.6949259289881,0.357906672823594,0.36944096941153387,0.05935986307299024,-0.37980114908546436
film_cls_mean_concat_aux,pilot_test,group_name,HIGH_LOW_LOW,3,13589.0,0.7729594461575687,995.3828183599608,0.15490990172047786,0.3648048666813844,-0.14363690803012574,-0.5827979201885803
film_mean_patch_aux,pilot_test,group_name,HIGH_LOW_LOW,3,13589.0,0.7705252099285337,995.3255227487412,0.15247566549144284,0.3735374199720362,-0.1460711442591608,-0.5852321564176154
mean_patch_plus_aux,pilot_test,group_name,HIGH_LOW_LOW,3,13589.0,1.316840051217981,2670.0704166891974,0.6987905067808904,0.36460862952878553,0.4002436970302865,-0.038917315128168095
round0_original_visual,pilot_test,group_name,HIGH_LOW_LOW,1,13589.0,1.3988293802005505,2808.995712572907,0.7807798357634592,0.220987563470454,0.482233026012856,0.0430720138544014
round0_timefuse,pilot_test,group_name,HIGH_LOW_LOW,1,13589.0,1.355757366346149,3127.764342804522,0.7377078219090584,0.385164471263522,0.4391610121584546,0.0
visual_cls_mean_concat,pilot_test,group_name,HIGH_LOW_LOW,3,13589.0,0.9165963541876945,1336.9371246766411,0.29854680975060355,0.38138690607599285,0.0,-0.4391610121584546
visual_mean_patch_only,pilot_test,group_name,HIGH_LOW_LOW,3,13589.0,0.9691988011442488,1663.090690309861,0.35114925670715796,0.3475114676086049,0.05260244695655436,-0.38655856520190024
cls_mean_concat_plus_aux,pilot_test,group_name,LOW_HIGH_HIGH,3,7600.0,0.2784358723730563,0.534474292853499,0.039368909912185,0.6330263157894737,-0.00419801488758792,-0.016086742035555934
film_cls_mean_concat_aux,pilot_test,group_name,LOW_HIGH_HIGH,3,7600.0,0.280461640985973,0.5242785402380397,0.04139467852510167,0.6148684210526315,-0.002172246274671219,-0.014060973422639234
film_mean_patch_aux,pilot_test,group_name,LOW_HIGH_HIGH,3,7600.0,0.2790070311878495,0.5528417400702083,0.03994006872697813,0.6729385964912281,-0.0036268560727947263,-0.015515583220762741
mean_patch_plus_aux,pilot_test,group_name,LOW_HIGH_HIGH,3,7600.0,0.2794570077060772,0.5378390646453393,0.040390045245205834,0.6281578947368421,-0.0031768795545670248,-0.01506560670253504
round0_original_visual,pilot_test,group_name,LOW_HIGH_HIGH,1,7600.0,0.3014888894471852,0.5665085108630017,0.0624219269863139,0.6722368421052631,0.018855002186541014,0.006966275038573
