variant,visual_input_mode,visual_dim,sample_set,method_kind,seed,method,stratum_column,stratum_kind,stratum_value,sample_count,MAE,MSE,regret_to_oracle,oracle_label_accuracy,weight_entropy,normalized_weight_entropy,mean_max_weight,dataset_name,oracle_model,error_gap_quantile,cluster,group_name,forecastability_cat,season_strength_cat,trend_strength_cat,cv_cat,missing_ratio_cat
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|PatchTST|q3|8|HIGH_LOW_LOW|low|weak|moderate|moderate|complete,593,0.5392975502782524,1.1083442523758114,0.05207482477709727,0.7757166947723441,0.9944142961079917,0.6178643302536534,0.5839678447624483,TEST_DATA_MIN,PatchTST,q3,8.0,HIGH_LOW_LOW,low,weak,moderate,moderate,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|ES|q3|8|HIGH_LOW_LOW|low|weak|moderate|moderate|complete,615,0.49110974918149897,10.531206127607335,0.14500294057368415,0.04715447154471545,1.2015891586740812,0.7465893043492867,0.47730843439334775,TEST_DATA_MIN,ES,q3,8.0,HIGH_LOW_LOW,low,weak,moderate,moderate,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|NaiveForecaster|q3|8|HIGH_LOW_LOW|low|weak|moderate|moderate|complete,328,0.4479529773560921,17.83798130678578,0.1302339942762401,0.4298780487804878,0.9369370410996486,0.5821517044067416,0.6096080404865306,TEST_DATA_MIN,NaiveForecaster,q3,8.0,HIGH_LOW_LOW,low,weak,moderate,moderate,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|CrossFormer|q3|8|HIGH_LOW_LOW|low|weak|moderate|moderate|complete,313,0.6962338655818099,1.3054645730858705,0.1228193008421233,0.15335463258785942,1.1143695806352476,0.6923967376589394,0.5158978158387894,TEST_DATA_MIN,CrossFormer,q3,8.0,HIGH_LOW_LOW,low,weak,moderate,moderate,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|DLinear|q3|8|HIGH_LOW_LOW|low|weak|moderate|moderate|complete,359,0.5862208618665721,0.8784016721546624,0.10206262767055489,0.12813370473537605,1.1124532668122342,0.6912060651855548,0.5301167774001204,TEST_DATA_MIN,DLinear,q3,8.0,HIGH_LOW_LOW,low,weak,moderate,moderate,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|NaiveForecaster|q3|18|LOW_HIGH_HIGH|medium|strong|weak|highly_variable|complete,116,0.10367132715302806,0.20694253359870973,0.002114864901222074,0.9913793103448276,0.2104695818611774,0.1307721018534282,0.9381601964605266,TEST_DATA_MIN,NaiveForecaster,q3,18.0,LOW_HIGH_HIGH,medium,strong,weak,highly_variable,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|DLinear|q3|18|LOW_HIGH_HIGH|medium|strong|weak|highly_variable|complete,2,0.1730586513876915,0.0426976755261421,0.02512188255786895,0.0,0.14732168987393374,0.09153611212968821,0.9694330096244812,TEST_DATA_MIN,DLinear,q3,18.0,LOW_HIGH_HIGH,medium,strong,weak,highly_variable,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|ES|q3|18|LOW_HIGH_HIGH|medium|strong|weak|highly_variable|complete,30,0.11945476901018987,0.5706682359276063,0.05229316151623298,0.0,1.5017381807168324,0.933082369963328,0.31643149852752683,TEST_DATA_MIN,ES,q3,18.0,LOW_HIGH_HIGH,medium,strong,weak,highly_variable,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|DLinear|q3|18|LOW_HIGH_HIGH|medium|moderate|moderate|highly_variable|complete,7,0.18914465765867913,0.18205912251557624,0.014339616256100788,0.0,1.0144626338567053,0.6303210575133562,0.5556935710566384,TEST_DATA_MIN,DLinear,q3,18.0,LOW_HIGH_HIGH,medium,moderate,moderate,highly_variable,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|ES|q3|18|LOW_HIGH_HIGH|medium|moderate|moderate|highly_variable|complete,85,0.07931946831454023,0.16096918048034,0.012192584485199021,0.023529411764705882,1.5188961975714739,0.9437432401320514,0.300749351347194,TEST_DATA_MIN,ES,q3,18.0,LOW_HIGH_HIGH,medium,moderate,moderate,highly_variable,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|NaiveForecaster|q3|18|LOW_HIGH_HIGH|medium|moderate|moderate|highly_variable|complete,49,0.06052156450340942,0.07257839685724098,0.006475544097472224,0.8979591836734694,0.23940642664627154,0.14875157272481188,0.9155238939791309,TEST_DATA_MIN,NaiveForecaster,q3,18.0,LOW_HIGH_HIGH,medium,moderate,moderate,highly_variable,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|NaiveForecaster|q3|18|LOW_HIGH_HIGH|low|strong|weak|highly_variable|complete,140,0.12906869514180078,0.2993246966091517,3.766828119263924e-17,1.0,0.2559101360916559,0.15900590467000641,0.9265835229839597,TEST_DATA_MIN,NaiveForecaster,q3,18.0,LOW_HIGH_HIGH,low,strong,weak,highly_variable,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|PatchTST|q3|6|HIGH_LOW_HIGH|medium|weak|strong|stable|complete,810,0.32229823294429133,0.17918702617494597,0.012684257089355873,0.8987654320987655,0.7230544997218215,0.4492590119993245,0.718231068018042,TEST_DATA_MIN,PatchTST,q3,6.0,HIGH_LOW_HIGH,medium,weak,strong,stable,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|ES|q3|6|HIGH_LOW_HIGH|medium|weak|strong|stable|complete,459,0.12366194880825172,0.07874339779249573,0.0417643855417183,0.0,1.4203229045296546,0.8824962097055772,0.35824539296507574,TEST_DATA_MIN,ES,q3,6.0,HIGH_LOW_HIGH,medium,weak,strong,stable,complete
