sample_set,layout_name,stratum_column,stratum_value,sample_count,raw_soft_MAE,raw_soft_MSE,raw_soft_regret,hard_top1_MAE,entropy,mean_max_weight,oracle_label_accuracy
staged_test,current_rgb_3view,group_name,HIGH_LOW_LOW,45817,0.7873838471621094,991.9196552607746,0.15739647801915857,0.8151282030894799,1.064501426021313,0.5538309340276178,0.3265600104764607
staged_test,current_rgb_3view,group_name,LOW_HIGH_HIGH,26323,0.29667237800331947,1.0933958565479835,0.05139635890718362,0.30351524560252713,0.7935897235342585,0.6718719411379968,0.5706796337803441
staged_test,current_rgb_3view,group_name,LOW_LOW_LOW,51202,0.5247363534709383,1.6526246673166367,0.10953162708410054,0.5423396354610036,1.1551892831107975,0.5054546591715302,0.26594664270926915
staged_test,current_rgb_3view,group_name,HIGH_LOW_HIGH,59432,0.33569986030678367,2.8463543368490374,0.052553233004797646,0.3484318156847256,1.0996067652864094,0.5233886063954887,0.35635684479741553
staged_test,current_rgb_3view,group_name,LOW_LOW_HIGH,49995,0.180977534296478,1.0928501040464087,0.03314635135242339,0.1871565260147714,1.38434501433547,0.37302562215349916,0.16163616361636163
staged_test,current_rgb_3view,group_name,LOW_HIGH_LOW,15703,0.4107333167004627,10.410099912366489,0.08239840486214252,0.42715376455999554,0.9450839303883104,0.6035954622085752,0.4772973317200535
staged_test,current_rgb_3view,group_name,HIGH_HIGH_LOW,7123,0.47695218653268157,13.201240473796107,0.08057084476734189,0.4944611786915367,1.053067625786806,0.5472270898770938,0.4486873508353222
staged_test,current_rgb_3view,group_name,HIGH_HIGH_HIGH,6549,0.11063564941455017,0.33507925347396755,0.012283762065992108,0.12388233211861019,1.3962833811002098,0.3549866019532706,0.17330890212246144
staged_diagnostic,spatial_panel_3view,error_gap_quantile,q3,262144,0.29172593580915535,1.0285533112683347,0.031809118649193405,0.3101520522354272,1.1549543844541428,0.49644702034532884,0.37566375732421875
staged_selection,spatial_panel_3view,error_gap_quantile,q3,262144,0.29985784512887664,1.1869400347082841,0.03381537267843217,0.31719411974901635,1.145170020853503,0.5029305896064216,0.3836212158203125
staged_test,spatial_panel_3view,error_gap_quantile,q3,262144,0.41281157513220856,175.72004332811815,0.07169368337620416,0.42762994870605253,1.1357385920651168,0.50517619962352,0.3344612121582031
staged_diagnostic,current_rgb_3view,error_gap_quantile,q3,262144,0.2957114004493988,1.04693128337837,0.03579458328943691,0.3139325980438954,1.1534559783122282,0.491543240942633,0.3734474182128906
staged_selection,current_rgb_3view,error_gap_quantile,q3,262144,0.30503271123027553,1.4411778761529446,0.038990238779831043,0.3219435761194759,1.1421795004604849,0.49921671734148276,0.3816261291503906
staged_test,current_rgb_3view,error_gap_quantile,q3,262144,0.42085013577181796,175.64270108482327,0.07973224401581352,0.435679904279532,1.124793997149833,0.5126848581891181,0.3230552673339844
staged_diagnostic,spatial_panel_3view,forecastability_cat,low,164598,0.3806074088782688,1.5415862571346655,0.042576847094774585,0.4030091538309236,1.071416368628168,0.5457720292642744,0.45773946220488704
staged_diagnostic,spatial_panel_3view,forecastability_cat,high,90658,0.13262893292722547,0.15286497665056642,0.012209155896327166,0.14433081538118517,1.3233404672333393,0.3989776189852648,0.21667144653533058
staged_diagnostic,spatial_panel_3view,forecastability_cat,medium,6888,0.2617757881668874,0.29451675727172383,0.032469231390711485,0.27370148346602435,0.934955086592268,0.6006257617013241,0.5069686411149826
