probe_kind,model_name,sample_set,target_name,sample_count,class_count,accuracy,balanced_accuracy,macro_f1,cross_entropy,top2_recall,metric_scope,class_label,per_class_recall
feature_probe,cls_plus_aux,pilot_selection,oracle_model,30000,5,0.6275666666666667,0.5413027382819346,0.5340118749673145,8.216727505587194,0.8067666666666666,per_class_recall,DLinear,0.6321851453175458
feature_probe,cls_plus_aux,pilot_selection,oracle_model,30000,5,0.6275666666666667,0.5413027382819346,0.5340118749673145,8.216727505587194,0.8067666666666666,per_class_recall,PatchTST,0.4707590211530485
feature_probe,cls_plus_aux,pilot_selection,oracle_model,30000,5,0.6275666666666667,0.5413027382819346,0.5340118749673145,8.216727505587194,0.8067666666666666,per_class_recall,CrossFormer,0.1811268579329416
feature_probe,cls_plus_aux,pilot_selection,oracle_model,30000,5,0.6275666666666667,0.5413027382819346,0.5340118749673145,8.216727505587194,0.8067666666666666,per_class_recall,ES,0.8258881798266502
feature_probe,cls_plus_aux,pilot_selection,oracle_model,30000,5,0.6275666666666667,0.5413027382819346,0.5340118749673145,8.216727505587194,0.8067666666666666,per_class_recall,NaiveForecaster,0.5965544871794872
feature_probe,cls_plus_aux,diagnostic_balanced,oracle_model,20000,5,0.53785,0.53785,0.5215107859351674,10.59972220668189,0.72405,per_class_recall,DLinear,0.635
feature_probe,cls_plus_aux,diagnostic_balanced,oracle_model,20000,5,0.53785,0.53785,0.5215107859351674,10.59972220668189,0.72405,per_class_recall,PatchTST,0.46525
feature_probe,cls_plus_aux,diagnostic_balanced,oracle_model,20000,5,0.53785,0.53785,0.5215107859351674,10.59972220668189,0.72405,per_class_recall,CrossFormer,0.187
feature_probe,cls_plus_aux,diagnostic_balanced,oracle_model,20000,5,0.53785,0.53785,0.5215107859351674,10.59972220668189,0.72405,per_class_recall,ES,0.8095
feature_probe,cls_plus_aux,diagnostic_balanced,oracle_model,20000,5,0.53785,0.53785,0.5215107859351674,10.59972220668189,0.72405,per_class_recall,NaiveForecaster,0.5925
feature_probe,mean_patch_plus_aux,pilot_selection,oracle_model,30000,5,0.6286666666666667,0.5441499453017402,0.5364554779120724,8.111805785027087,0.8053,per_class_recall,DLinear,0.631324004305705
feature_probe,mean_patch_plus_aux,pilot_selection,oracle_model,30000,5,0.6286666666666667,0.5441499453017402,0.5364554779120724,8.111805785027087,0.8053,per_class_recall,PatchTST,0.48195769390294485
feature_probe,mean_patch_plus_aux,pilot_selection,oracle_model,30000,5,0.6286666666666667,0.5441499453017402,0.5364554779120724,8.111805785027087,0.8053,per_class_recall,CrossFormer,0.1814725198755617
feature_probe,mean_patch_plus_aux,pilot_selection,oracle_model,30000,5,0.6286666666666667,0.5441499453017402,0.5364554779120724,8.111805785027087,0.8053,per_class_recall,ES,0.8230307648347461
feature_probe,mean_patch_plus_aux,pilot_selection,oracle_model,30000,5,0.6286666666666667,0.5441499453017402,0.5364554779120724,8.111805785027087,0.8053,per_class_recall,NaiveForecaster,0.6029647435897436
feature_probe,mean_patch_plus_aux,diagnostic_balanced,oracle_model,20000,5,0.54345,0.54345,0.5280110551213878,10.339894053831797,0.72775,per_class_recall,DLinear,0.63525
feature_probe,mean_patch_plus_aux,diagnostic_balanced,oracle_model,20000,5,0.54345,0.54345,0.5280110551213878,10.339894053831797,0.72775,per_class_recall,PatchTST,0.48025
feature_probe,mean_patch_plus_aux,diagnostic_balanced,oracle_model,20000,5,0.54345,0.54345,0.5280110551213878,10.339894053831797,0.72775,per_class_recall,CrossFormer,0.1935
feature_probe,mean_patch_plus_aux,diagnostic_balanced,oracle_model,20000,5,0.54345,0.54345,0.5280110551213878,10.339894053831797,0.72775,per_class_recall,ES,0.8095
feature_probe,mean_patch_plus_aux,diagnostic_balanced,oracle_model,20000,5,0.54345,0.54345,0.5280110551213878,10.339894053831797,0.72775,per_class_recall,NaiveForecaster,0.59875
