layout,seed,sample_set,perturbation_sigma,row_count,image_l2_mean,image_l2_std,image_l2_max,image_cosine_distance_mean,image_cosine_distance_std,image_cosine_distance_max
top3fold_period_layout,17,round2_diagnostic_balanced_small,0.005,1536,0.8594704263814492,4.626347424178305,50.01377487182617,0.0002898018359092679,0.002081539686890793,0.0343160718640044
top3fold_period_layout,17,round2_diagnostic_balanced_small,0.01,1536,1.3194890324181567,5.441732455612254,49.96977996826172,0.00040943547957379695,0.0024230897100052285,0.0342505791270458
top3fold_period_layout,17,round2_selection_small,0.001,1536,0.2864236646382778,2.828198918522246,39.40493392944336,0.00010476344121185224,0.0012339130611377998,0.0203039712654448
top3fold_period_layout,17,round2_selection_small,0.005,1536,0.6310525301038675,3.684923916865756,39.39815521240234,0.00018052318169587574,0.0014889713077073105,0.0202965665845948
top3fold_period_layout,17,round2_selection_small,0.01,1536,1.015547134942608,4.5285183380558856,38.28149032592773,0.0002790790969899941,0.001827295295675535,0.0192136312513578
top3fold_period_layout,18,round2_diagnostic_balanced_small,0.001,1536,0.5632698291374254,4.076033017230984,50.01444625854492,0.0002207704183895627,0.0018399517532337504,0.0343171307580006
top3fold_period_layout,18,round2_diagnostic_balanced_small,0.005,1536,0.9697809618179841,4.980510056468298,49.99056243896485,0.00033720251610886294,0.0022621278483367833,0.0342811100563239
top3fold_period_layout,18,round2_diagnostic_balanced_small,0.01,1536,1.3631705481384415,5.533192412441677,50.02885437011719,0.0004235868125255708,0.0024317326046854417,0.0343369247174858
top3fold_period_layout,18,round2_selection_small,0.001,1536,0.3289335154804575,2.9593156805596577,38.24943542480469,0.00011479036253907046,0.0012023323125381798,0.0183601233041523
top3fold_period_layout,18,round2_selection_small,0.005,1536,0.7242574415092046,4.167287891038548,40.30849456787109,0.00023179675183726352,0.0017481063941266757,0.0210454301382579
top3fold_period_layout,18,round2_selection_small,0.01,1536,0.9144230289772773,4.103913302889086,40.21417236328125,0.00022943962676104837,0.0016133624609729594,0.0226068794293775
