layout,seed,sample_set,perturbation_sigma,row_count,top1_period_changed_mean,top1_period_changed_std,top1_period_changed_max,top3_jaccard_mean,top3_jaccard_std,top3_jaccard_max,top1_period_bucket_flipped_mean,top1_period_bucket_flipped_std,top1_period_bucket_flipped_max,period_score_margin_mean,period_score_margin_std,period_score_margin_max,perturbed_period_score_margin_mean,perturbed_period_score_margin_std,perturbed_period_score_margin_max
top3fold_period_layout,16,round2_selection_small,0.001,1536,0.091796875,0.28883303408683114,True,0.9192057291666668,0.2530638716218689,1.0,0.068359375,0.25244377659593703,True,1426.085658274591,1371.1864515710654,4607.99951171875,1426.1041348690267,1371.180906388067,4607.99658203125
top3fold_period_layout,16,round2_selection_small,0.005,1536,0.09375,0.2915755247700861,True,0.9170572916666666,0.25607040328521663,1.0,0.06770833333333333,0.25132655650004737,True,1426.085658274591,1371.1864515710654,4607.99951171875,1426.015405753599,1371.0833116729855,4607.88427734375
top3fold_period_layout,16,round2_selection_small,0.01,1536,0.09309895833333333,0.29066569552091975,True,0.9115885416666667,0.2595833845286409,1.0,0.07421875,0.26221191730458665,True,1426.085658274591,1371.1864515710654,4607.99951171875,1426.1230780395897,1371.0691981045024,4607.5439453125
top3fold_period_layout,17,round2_diagnostic_balanced_small,0.001,1536,0.09505208333333333,0.2933823819544377,True,0.9184244791666667,0.25519818860157784,1.0,0.07747395833333333,0.26742906631537805,True,1461.644012466073,1449.0612000265057,4607.55859375,1461.6474600686688,1449.0388753375203,4607.56005859375
top3fold_period_layout,17,round2_diagnostic_balanced_small,0.005,1536,0.09895833333333333,0.298703314216625,True,0.9150390625,0.2599957374447009,1.0,0.07877604166666667,0.2694766298670755,True,1461.644012466073,1449.0612000265057,4607.55859375,1461.6549459800474,1449.0104549652388,4607.4091796875
top3fold_period_layout,17,round2_diagnostic_balanced_small,0.01,1536,0.09635416666666667,0.2951724316167357,True,0.9110026041666667,0.26097294278560396,1.0,0.072265625,0.25901154581059155,True,1461.644012466073,1449.0612000265057,4607.55859375,1461.5785109099709,1448.8627644488035,4607.255859375
top3fold_period_layout,17,round2_selection_small,0.001,1536,0.09635416666666667,0.2951724316167352,True,0.9174479166666667,0.2585003050462648,1.0,0.08138020833333333,0.27350716985085854,True,1426.085658274591,1371.1864515710654,4607.99951171875,1426.0880137902661,1371.2013708626637,4607.99658203125
top3fold_period_layout,17,round2_selection_small,0.005,1536,0.09440104166666667,0.2924810737030419,True,0.9138671875000001,0.2617836948140986,1.0,0.080078125,0.2715025037226861,True,1426.085658274591,1371.1864515710654,4607.99951171875,1426.0644853974318,1371.045715542639,4607.88671875
top3fold_period_layout,17,round2_selection_small,0.01,1536,0.09765625,0.29694597771443504,True,0.91171875,0.26105406793299496,1.0,0.07942708333333333,0.2704922474258385,True,1426.085658274591,1371.1864515710654,4607.99951171875,1426.0844821117582,1371.0576458851874,4607.59326171875
top3fold_period_layout,18,round2_diagnostic_balanced_small,0.001,1536,0.09244791666666667,0.2897515456345513,True,0.9188802083333334,0.254947748313747,1.0,0.07682291666666667,0.26639699481990586,True,1461.644012466073,1449.0612000265057,4607.55859375,1461.6707429916396,1449.0430063841175,4607.564453125
top3fold_period_layout,18,round2_diagnostic_balanced_small,0.005,1536,0.09700520833333333,0.2960612490094542,True,0.9142578124999999,0.2588092929200792,1.0,0.08203125,0.2745016954078045,True,1461.644012466073,1449.0612000265057,4607.55859375,1461.60790727074,1449.0465552575224,4607.45556640625
top3fold_period_layout,18,round2_diagnostic_balanced_small,0.01,1536,0.09895833333333333,0.29870331421662494,True,0.9069661458333332,0.26546678480906405,1.0,0.08463541666666667,0.2784290456146969,True,1461.644012466073,1449.0612000265057,4607.55859375,1461.4688719928545,1448.6257835929566,4607.21630859375
top3fold_period_layout,18,round2_selection_small,0.001,1536,0.09244791666666667,0.2897515456345508,True,0.9170572916666666,0.25935663190589936,1.0,0.076171875,0.2653593109824517,True,1426.085658274591,1371.1864515710654,4607.99951171875,1426.101204091772,1371.1697511409745,4607.99609375
top3fold_period_layout,18,round2_selection_small,0.005,1536,0.09700520833333333,0.2960612490094542,True,0.9147135416666666,0.26157562412996255,1.0,0.08138020833333333,0.2735071698508584,True,1426.085658274591,1371.1864515710654,4607.99951171875,1426.0905584630557,1371.0841126032992,4607.9072265625
top3fold_period_layout,18,round2_selection_small,0.01,1536,0.09440104166666667,0.29248107370304194,True,0.9075520833333334,0.27008551647698675,1.0,0.07486979166666667,0.2632668404657459,True,1426.085658274591,1371.1864515710654,4607.99951171875,1426.0558174851703,1371.1264983623228,4607.6357421875
