layout,sample_set,perturbation_sigma,stratum_value,row_count,top1_period_changed_mean,top1_period_changed_std,top1_period_changed_max,image_cosine_distance_mean,image_cosine_distance_std,image_cosine_distance_max,mean_patch_embedding_cosine_distance_mean,mean_patch_embedding_cosine_distance_std,mean_patch_embedding_cosine_distance_max,router_weight_js_divergence_mean,router_weight_js_divergence_std,router_weight_js_divergence_max,selected_model_flipped_mean,selected_model_flipped_std,selected_model_flipped_max,soft_fused_abs_change_mean,soft_fused_abs_change_std,soft_fused_abs_change_max,stratum_column
current_rgb_3view,round2_diagnostic_balanced_small,0.01,ES,1080,0.362962962962963,0.48107706480200857,True,0.053982497761502955,0.0728265960928447,0.2529832319709546,0.2455673828018949,0.31186581706795613,0.7386065220896825,0.08311097273729631,0.11213301199328564,0.3307152758963925,0.1574074074074074,0.3643531736692764,True,0.006329618399838296,0.032434669772485304,0.6304411292076111,oracle_model
current_rgb_3view,round2_diagnostic_balanced_small,0.01,NaiveForecaster,927,0.06796116504854369,0.2518151096779941,True,0.0013325027734347895,0.005969792659341311,0.0793995006163332,0.01301870452250743,0.05251584186390728,0.4387657315633041,0.0030069811047472262,0.02306822571956753,0.3963626493221771,0.02481121898597627,0.15563338838521096,True,0.007681871407469025,0.02617994240743716,0.509315550327301,oracle_model
current_rgb_3view,round2_diagnostic_balanced_small,0.01,PatchTST,864,0.0,0.0,False,0.00016865002538624474,6.210094031678191e-05,0.0009235048707916,0.0010288228995045143,0.0011025700178896268,0.0117850275535326,0.0002771214489704937,0.0005549541553089111,0.0082560518325982,0.02199074074074074,0.14673809811729155,True,0.007079789087087666,0.017681125450174442,0.2313939183950424,oracle_model
current_rgb_3view,round2_selection_small,0.001,CrossFormer,783,0.0,0.0,False,1.7449813217779071e-06,7.288210822218629e-07,6.749535855665734e-06,1.5195503779530754e-05,2.1639028847178787e-05,0.0002379075081698,3.4788812407923383e-06,6.21691772632791e-06,5.667375447793112e-05,0.0,0.0,False,0.0005549802905882931,0.0007559488041575289,0.0084120417013764,oracle_model
current_rgb_3view,round2_selection_small,0.001,DLinear,1089,0.0,0.0,False,1.6713300101641785e-06,6.275195006013365e-07,7.246211177425188e-06,1.1190500626150874e-05,1.2927207720402013e-05,0.0001152980173604,2.6950017064992604e-06,6.196638828251842e-06,0.0001051393410763,0.0018365472910927456,0.042835257534744015,True,0.0005174680766556486,0.0008037383573348655,0.0176632311195135,oracle_model
current_rgb_3view,round2_selection_small,0.001,ES,1161,0.3479758828596038,0.4765335890436553,True,0.04941631229236891,0.06894188397913752,0.2610126239355291,0.23717427271143068,0.3095332381905763,0.7543897369006999,0.08311759247439335,0.1133649769675196,0.3350926052774367,0.13006029285099052,0.33651471221040546,True,0.0007387847992861117,0.0013646680021197194,0.0282378643751144,oracle_model
current_rgb_3view,round2_selection_small,0.001,NaiveForecaster,738,0.036585365853658534,0.18786884163694392,True,0.000345056729464684,0.0019688506827324993,0.0206966025519463,0.0052977299182233204,0.030221423716896068,0.253284470930611,0.00026580243940712894,0.002262123584230889,0.0395141474463879,0.0027100271002710027,0.052022591191716726,True,0.001302217006624873,0.005636986603631278,0.1105422154068946,oracle_model
current_rgb_3view,round2_selection_small,0.001,PatchTST,837,0.0,0.0,False,1.7744088558927094e-06,6.406289103956782e-07,7.023066837308356e-06,1.7492516986827566e-05,2.6146349437526813e-05,0.0001770769401558,3.649843768573152e-06,9.281492078569173e-06,0.0001734951070438,0.0011947431302270011,0.03456505649101418,True,0.0005973579288242825,0.0011195969743539188,0.0151326088234782,oracle_model
current_rgb_3view,round2_selection_small,0.005,CrossFormer,783,0.0,0.0,False,4.2661077271821805e-05,1.6192905117267506e-05,0.0002187045538358,0.000269928460483786,0.0003155037827178221,0.0039881003391184,5.993512144038275e-05,0.00010287662246315063,0.0009934963697207,0.010217113665389528,0.10062631925189988,True,0.0025636752797512843,0.003209104675875914,0.0376565121114254,oracle_model
current_rgb_3view,round2_selection_small,0.005,DLinear,1089,0.0,0.0,False,4.141997255752972e-05,1.3855522271105565e-05,0.0001601220921509,0.00020838669003462722,0.00022969680518987782,0.0022247624239072,5.405507070929599e-05,0.00010633518580902434,0.001507167564675,0.011019283746556474,0.10444077530788907,True,0.002496139556995991,0.0039743571627570435,0.0649937763810157,oracle_model
