layout,seed,sample_set,sample_key,perturbation_sigma,perturbation_index,top1_period,perturbed_top1_period,top1_period_changed,top3_jaccard,top1_period_bucket,perturbed_top1_period_bucket,top1_period_bucket_flipped,period_score_margin,perturbed_period_score_margin,image_l2,image_cosine_distance,cls_embedding_cosine_distance,mean_patch_embedding_cosine_distance,embedding_l2,router_weight_js_divergence,router_weight_l1,router_weight_max_change,selected_model,perturbed_selected_model,selected_model_flipped,soft_fused_abs_change,soft_fused_mae_change,regret_change,oracle_model,season_strength_cat,forecastability_cat,error_gap_quantile,top3_periods,perturbed_top3_periods,high_change_score
current_rgb_3view,16,round2_selection_small,96_48_S__vali__TEST_DATA_HOUR__item108497__ch4__win2660,0.001,2,4,32,True,0.0,p_le_4,p_17_32,True,0.0,8.879753295332193e-06,87.04790496826172,0.2040499182949038,0.5115346608787984,0.6643529551398993,23.395418167114254,0.2058816650745353,1.2035884857177734,0.6017942428588867,ES,ES,False,0.0005569091881625,-0.0005569091881625,-0.0005569091881625,ES,strong,high,q1,"4,3,2","32,64,48",1.0742845385093385
current_rgb_3view,17,round2_diagnostic_balanced_small,96_48_S__vali__TEST_DATA_MIN__item21608__ch4__win61,0.005,1,4,96,True,0.0,p_le_4,p_gt_64,True,0.0,0.0003213612362742,67.80587005615234,0.1396547109666387,0.4711630301206421,0.6619476053827541,24.182737350463867,0.2725271986958518,1.2418183088302612,0.6209090948104858,NaiveForecaster,ES,True,0.0006492716493085,-0.0006492717075161,-0.0006492717075161,ES,moderate,medium,q1,"4,3,2","96,64,48",1.0741295150452446
current_rgb_3view,17,round2_diagnostic_balanced_small,96_48_S__vali__TEST_DATA_MIN__item20261__ch2__win307,0.001,0,4,5,True,0.2,p_le_4,p_5_8,True,0.0,5.191337550058961e-06,77.83142852783203,0.1730861273278892,0.5034139266877949,0.6892507135210986,23.85254669189453,0.2117919751947196,1.086800217628479,0.5434000492095947,NaiveForecaster,ES,True,0.0006114815478213,-0.0006114815478213,-0.0006114815478213,ES,weak,high,q1,"4,3,2","5,12,4",1.0741288160437077
current_rgb_3view,17,round2_selection_small,96_48_S__vali__TEST_DATA_MIN__item6461__ch2__win82,0.01,2,4,2,True,0.2,p_le_4,p_le_4,False,0.0,0.0149027667939662,66.25453186035156,0.1345758079962006,0.502805907919694,0.6899359124499258,24.299510955810547,0.2495754291524802,1.2140003442764282,0.6070001125335693,NaiveForecaster,ES,True,0.0006339869578368,-0.0006339869578368,-0.0006339869578368,ES,weak,high,q1,"4,3,2","2,24,12",1.0740871495986066
current_rgb_3view,18,round2_diagnostic_balanced_small,96_48_S__vali__TEST_DATA_HOUR__item108877__ch3__win1301,0.01,0,4,32,True,0.5,p_le_4,p_17_32,True,0.0,0.0011031944304704,74.3436279296875,0.1614238086529112,0.5008060559705338,0.6649816623743371,23.104150772094727,0.2475401997567486,1.3080694675445557,0.6540347337722778,ES,ES,False,0.0006199849885888,-0.0006199851050041,-0.0006199851050041,ES,strong,medium,q1,"4,3,2","32,4,3",1.073945670783997
current_rgb_3view,17,round2_selection_small,96_48_S__vali__TEST_DATA_MIN__item21608__ch4__win170,0.01,0,4,2,True,0.2,p_le_4,p_le_4,False,0.0,0.0239715967327356,65.56678009033203,0.1323340152600318,0.4605463632810246,0.6299478517080765,22.894115447998047,0.311578958847258,1.4146243333816528,0.7073121070861816,NaiveForecaster,ES,True,0.0006498424336314,-0.000649842491839,-0.000649842491839,ES,moderate,medium,q1,"4,3,2","2,64,48",1.0738608258153666
current_rgb_3view,18,round2_selection_small,96_48_S__vali__TEST_DATA_HOUR__item110103__ch4__win548,0.005,0,4,24,True,0.0,p_le_4,p_17_32,True,0.0,0.0049851206131279,78.2952880859375,0.1746587988933526,0.4904074770510247,0.6591587134196483,23.193796157836918,0.2398741767167536,1.2204821109771729,0.6102410554885864,ES,ES,False,0.0006415462703444,-0.000641546328552,-0.000641546328552,ES,strong,high,q1,"4,3,2","24,8,32",1.0736916890297543
current_rgb_3view,18,round2_diagnostic_balanced_small,96_48_S__vali__TEST_DATA_HOUR__item109973__ch4__win769,0.005,0,4,24,True,0.0,p_le_4,p_17_32,True,0.0,0.0049851206131279,78.2952880859375,0.1746587988933526,0.4904074770510247,0.6591587134196483,23.193796157836918,0.2398741767167536,1.2204821109771729,0.6102410554885864,ES,ES,False,0.0006415462703444,-0.000641546328552,-0.000641546328552,ES,strong,high,q1,"4,3,2","24,8,32",1.0736916890297543
current_rgb_3view,17,round2_selection_small,96_48_S__vali__TEST_DATA_MIN__item15842__ch4__win53,0.01,2,4,16,True,0.0,p_le_4,p_9_16,True,0.0,0.0086244270205497,74.75260925292969,0.1627620441886229,0.5306212098761067,0.7184511315968489,24.761215209960938,0.1924168161910825,1.0544756650924685,0.3542417585849762,NaiveForecaster,ES,True,0.0006201498908922,-0.0006201499490998,-0.0006201499490998,ES,weak,low,q1,"4,3,2","16,6,10",1.0736299919765544
current_rgb_3view,17,round2_diagnostic_balanced_small,96_48_S__vali__TEST_DATA_MIN__item1027__ch3__win406,0.001,0,4,10,True,0.2,p_le_4,p_9_16,True,0.0,4.139186057727784e-05,81.82083892822266,0.1864911838826867,0.4977153296877051,0.6645980868861859,23.705049514770508,0.2224923363980013,1.1708476543426514,0.5854238271713257,NaiveForecaster,ES,True,0.0006106007494963,-0.0006106008659116,-0.0006106008659116,ES,weak,medium,q1,"4,3,2","10,8,3",1.073581607166874
