variant,visual_input_mode,visual_dim,sample_set,method_kind,seed,method,selected_model,count,ratio
film_mean_patch_aux,mean_patch,768,round2_diagnostic_balanced_expanded,hard_top1,16,film_mean_patch_aux_hard_top1,DLinear,3474,0.3474
film_mean_patch_aux,mean_patch,768,round2_diagnostic_balanced_expanded,hard_top1,16,film_mean_patch_aux_hard_top1,ES,572,0.0572
film_mean_patch_aux,mean_patch,768,round2_diagnostic_balanced_expanded,hard_top1,16,film_mean_patch_aux_hard_top1,NaiveForecaster,1263,0.1263
film_mean_patch_aux,mean_patch,768,round2_diagnostic_balanced_expanded,hard_top1,16,film_mean_patch_aux_hard_top1,PatchTST,1881,0.1881
film_mean_patch_aux,mean_patch,768,round2_diagnostic_balanced_expanded,raw_soft_fusion,16,film_mean_patch_aux_raw_soft_fusion,CrossFormer,2810,0.281
film_mean_patch_aux,mean_patch,768,round2_diagnostic_balanced_expanded,raw_soft_fusion,16,film_mean_patch_aux_raw_soft_fusion,DLinear,3474,0.3474
film_mean_patch_aux,mean_patch,768,round2_diagnostic_balanced_expanded,raw_soft_fusion,16,film_mean_patch_aux_raw_soft_fusion,ES,572,0.0572
film_mean_patch_aux,mean_patch,768,round2_diagnostic_balanced_expanded,raw_soft_fusion,16,film_mean_patch_aux_raw_soft_fusion,NaiveForecaster,1263,0.1263
film_mean_patch_aux,mean_patch,768,round2_diagnostic_balanced_expanded,raw_soft_fusion,16,film_mean_patch_aux_raw_soft_fusion,PatchTST,1881,0.1881
film_mean_patch_aux,mean_patch,768,round2_diagnostic_balanced_expanded,hard_top1,17,film_mean_patch_aux_hard_top1,CrossFormer,405,0.0405
film_mean_patch_aux,mean_patch,768,round2_diagnostic_balanced_expanded,hard_top1,17,film_mean_patch_aux_hard_top1,DLinear,4941,0.4941
film_mean_patch_aux,mean_patch,768,round2_diagnostic_balanced_expanded,hard_top1,17,film_mean_patch_aux_hard_top1,ES,1984,0.1984
film_mean_patch_aux,mean_patch,768,round2_diagnostic_balanced_expanded,hard_top1,17,film_mean_patch_aux_hard_top1,NaiveForecaster,975,0.0975
film_mean_patch_aux,mean_patch,768,round2_diagnostic_balanced_expanded,hard_top1,17,film_mean_patch_aux_hard_top1,PatchTST,1695,0.1695
film_mean_patch_aux,mean_patch,768,round2_diagnostic_balanced_expanded,raw_soft_fusion,17,film_mean_patch_aux_raw_soft_fusion,CrossFormer,405,0.0405
film_mean_patch_aux,mean_patch,768,round2_diagnostic_balanced_expanded,raw_soft_fusion,17,film_mean_patch_aux_raw_soft_fusion,DLinear,4941,0.4941
film_mean_patch_aux,mean_patch,768,round2_diagnostic_balanced_expanded,raw_soft_fusion,17,film_mean_patch_aux_raw_soft_fusion,ES,1984,0.1984
film_mean_patch_aux,mean_patch,768,round2_diagnostic_balanced_expanded,raw_soft_fusion,17,film_mean_patch_aux_raw_soft_fusion,NaiveForecaster,975,0.0975
film_mean_patch_aux,mean_patch,768,round2_diagnostic_balanced_expanded,raw_soft_fusion,17,film_mean_patch_aux_raw_soft_fusion,PatchTST,1695,0.1695
film_mean_patch_aux,mean_patch,768,round2_diagnostic_balanced_expanded,hard_top1,18,film_mean_patch_aux_hard_top1,CrossFormer,784,0.0784
film_mean_patch_aux,mean_patch,768,round2_diagnostic_balanced_expanded,hard_top1,18,film_mean_patch_aux_hard_top1,DLinear,4339,0.4339
film_mean_patch_aux,mean_patch,768,round2_diagnostic_balanced_expanded,hard_top1,18,film_mean_patch_aux_hard_top1,ES,490,0.049
film_mean_patch_aux,mean_patch,768,round2_diagnostic_balanced_expanded,hard_top1,18,film_mean_patch_aux_hard_top1,NaiveForecaster,2620,0.262
film_mean_patch_aux,mean_patch,768,round2_diagnostic_balanced_expanded,hard_top1,18,film_mean_patch_aux_hard_top1,PatchTST,1767,0.1767
film_mean_patch_aux,mean_patch,768,round2_diagnostic_balanced_expanded,raw_soft_fusion,18,film_mean_patch_aux_raw_soft_fusion,CrossFormer,784,0.0784
film_mean_patch_aux,mean_patch,768,round2_diagnostic_balanced_expanded,raw_soft_fusion,18,film_mean_patch_aux_raw_soft_fusion,DLinear,4339,0.4339
film_mean_patch_aux,mean_patch,768,round2_diagnostic_balanced_expanded,raw_soft_fusion,18,film_mean_patch_aux_raw_soft_fusion,ES,490,0.049
film_mean_patch_aux,mean_patch,768,round2_diagnostic_balanced_expanded,raw_soft_fusion,18,film_mean_patch_aux_raw_soft_fusion,NaiveForecaster,2620,0.262
film_mean_patch_aux,mean_patch,768,round2_diagnostic_balanced_expanded,raw_soft_fusion,18,film_mean_patch_aux_raw_soft_fusion,PatchTST,1767,0.1767
film_cls_aux,cls,768,round2_selection_expanded,hard_top1,16,film_cls_aux_hard_top1,CrossFormer,1040,0.104
